id,rel_output,rel_type
trm_4a3fd79d09953,trm_4a3fd79d09ab2,hasPart
trm_4a3fd79d09953,trm_4a3fd79d0b4b5,hasPart
trm_4a3fd79d09953,trm_4a3fd79d0ab7c,isKindOf
trm_4a3fd79d09953,trm_4e31d5c79ddfe,isKindOf
trm_4a3fd79d0995e,trm_4a3fd79d0995e,isSelf
trm_4a3fd79d0995e,ctp_C1,inCategory
trm_4a3fd79d0995e,trm_4a3fd79d0ab7c,isPartOf
trm_55b6b8e291dba,trm_55b6b8e291dba,isSelf
trm_55b6b8e291dba,trm_558c7ae1eaf86,isKindOf
trm_4a3fd79d09a10,trm_4a3fd79d09a10,isSelf
trm_4a3fd79d09a10,ctp_C2,inCategory
trm_4a3fd79d09a10,trm_4a3fd79d0a803,hasKind
trm_4a3fd79d09a10,trm_4a3fd79d09902,isKindOf
trm_4a3fd79d09a3d,trm_4a3fd79d09a3d,isSelf
trm_4a3fd79d09a3d,trm_4a3fd79d0ac87,hasPart
trm_4a3fd79d09a3d,trm_4a3fd79d09707,hasPart
trm_4a3fd79d09a3d,trm_4a3fd79d0b8e5,isKindOf
trm_4a3fd79d09a3d,trm_4a3fd79d09ab2,isPartOf
trm_4a3fd79d09a49,trm_4a3fd79d09a49,isSelf
trm_4a3fd79d09a49,ctp_C5,inCategory
trm_4a3fd79d09a49,trm_4a3fd79d0b8e5,isKindOf
trm_4a3fd79d09a49,trm_4a3fd79d0b938,isPartOf
trm_4a3fd79d09a55,trm_4a3fd79d09a55,isSelf
trm_4a3fd79d09a55,trm_4a3fd79d0a33b,isKindOf
trm_4a3fd79d09a61,trm_4a3fd79d09a61,isSelf
trm_4a3fd79d09a61,ctp_C1,inCategory
trm_4a3fd79d09a61,trm_4a3fd79d09ab2,isPartOf
trm_4a3fd79d09a6c,trm_4a3fd79d09a6c,isSelf
trm_4a3fd79d09a78,trm_4a3fd79d09a78,isSelf
trm_4a3fd79d09a78,ctp_C5,inCategory
trm_4a3fd79d09a84,trm_4a3fd79d09a84,isSelf
trm_4a3fd79d09a84,ctp_C6,inCategory
trm_4a3fd79d09a84,trm_4a3fd79d0b826,isPartOf
trm_4a3fd79d09a8f,trm_4a3fd79d09a8f,isSelf
trm_4a3fd79d09a8f,ctp_C1,inCategory
trm_4a3fd79d09a8f,trm_5521a0512df9a,isKindOf
trm_4a3fd79d09a8f,trm_4a3fd79d09ab2,isPartOf
trm_4a3fd79d09a9b,trm_4a3fd79d09a9b,isSelf
trm_4a3fd79d09a9b,ctp_C1,inCategory
trm_4a3fd79d09aa7,trm_4a3fd79d09aa7,isSelf
trm_4a3fd79d09aa7,ctp_C5,inCategory
trm_4a3fd79d09aa7,trm_4b185801de7a1,hasKind
trm_4a3fd79d09aa7,trm_4a3fd79d09707,hasPart
trm_4a3fd79d09aa7,trm_4a3fd79d0a891,isKindOf
trm_4a3fd79d09ab2,trm_4a3fd79d09ab2,isSelf
trm_4a3fd79d09ab2,ctp_C1,inCategory
trm_4a3fd79d09ab2,trm_4a3fd79d09713,hasKind
trm_4a3fd79d09ab2,trm_502abeab4e1d8,hasKind
trm_4a3fd79d09ab2,trm_557b476527a27,hasKind
trm_4a3fd79d09ab2,trm_55ef273a77a86,hasKind
